[30, 57, 7, 28, 6, 5]
[48, 47, 3, 56, 7, 38]
[20, 6, 19, 42, 40, 37]
[33, 11, 36, 56, 16, 13]
[53, 9, 40, 35, 50, 10]
[10, 6, 30, 5, 42, 5]
[0, 32, 1, 23, 17, 53]
[9, 1, 34, 36, 10, 55]
[3, 2, 27, 12, 23, 59]
[54, 38, 39, 26, 20, 5]
[23, 43, 24, 35, 43, 39]
[28, 12, 9, 47, 47, 19]
[60, 26, 15, 49, 30, 17]
[19, 43, 11, 45, 4, 4]
[43, 6, 55, 24, 5, 56]
[12, 57, 53, 44, 42, 45]
[40, 47, 10, 48, 24, 19]
[5, 36, 26, 48, 21, 11]
[1, 50, 44, 26, 4, 54]
[2, 35, 34, 30, 14, 47]
[19, 11, 16, 57, 24, 25]
[38, 42, 36, 42, 13, 7]
[9, 9, 49, 60, 39, 12]
[55, 44, 24, 49, 32, 23]
[24, 23, 21, 16, 25, 47]
[39, 35, 50, 3, 43, 56]
[51, 13, 48, 25, 24, 21]
[59, 53, 7, 50, 30, 59]
[24, 53, 2, 5, 2, 47]
[34, 52, 17, 14, 21, 9]
[48, 28, 9, 41, 51, 27]
[41, 54, 20, 41, 54, 26]
[48, 28, 18, 46, 34, 33]
[13, 45, 5, 24, 52, 30]
[20, 49, 4, 41, 60, 11]
[53, 55, 1, 43, 28, 40]
[3, 14, 13, 27, 39, 33]
[17, 56, 54, 46, 21, 60]
[36, 28, 51, 34, 5, 10]
[12, 1, 60, 8, 48, 44]
[8, 34, 42, 6, 11, 23]
[59, 52, 25, 22, 33, 20]
[11, 3, 25, 1, 53, 26]
[38, 19, 54, 26, 31, 22]
[18, 17, 16, 36, 20, 7]
[13, 55, 55, 22, 8, 43]
[26, 16, 45, 34, 26, 20]
[31, 21, 55, 29, 54, 11]
[55, 54, 20, 14, 27, 48]
[18, 37, 55, 34, 60, 41]
[5, 27, 6, 19, 50, 39]
[5, 5, 28, 36, 52, 25]
[30, 50, 23, 30, 46, 4]
[35, 11, 31, 42, 49, 20]
[51, 38, 11, 21, 27, 49]
[14, 53, 14, 37, 13, 34]
[27, 4, 7, 49, 18, 50]
[2, 11, 35, 39, 48, 17]
[10, 58, 56, 60, 51, 52]
[30, 7, 31, 2, 18, 35]
[2, 22, 26, 1, 20, 35]
[24, 34, 34, 48, 57, 10]
[14, 40, 22, 45, 7, 53]
[59, 25, 52, 40, 42, 6]
[37, 16, 48, 47, 28, 50]
[20, 50, 57, 55, 32, 22]
[52, 45, 49, 17, 28, 40]
[6, 39, 10, 15, 34, 17]
[10, 20, 20, 36, 58, 32]
[52, 3, 54, 27, 32, 30]
[5, 26, 14, 1, 24, 32]
[1, 9, 57, 9, 27, 1]
[39, 25, 49, 43, 3, 47]
[7, 41, 52, 10, 2, 44]
[20, 38, 39, 12, 31, 34]
[27, 52, 20, 58, 14, 31]
[37, 58, 18, 16, 15, 53]
[57, 43, 31, 22, 15, 56]
[38, 12, 60, 22, 3, 51]
[8, 14, 4, 47, 3, 47]
[19, 33, 60, 28, 3, 42]
[1, 29, 1, 10, 22, 18]
[17, 51, 34, 41, 39, 16]
[54, 15, 34, 13, 27, 12]
[10, 17, 45, 41, 21, 57]
[26, 8, 6, 45, 22, 59]
[40, 38, 8, 31, 52, 8]
[36, 47, 42, 40, 27, 28]
[60, 25, 17, 32, 30, 36]
[4, 41, 28, 17, 35, 40]
[33, 44, 23, 17, 27, 30]
[51, 13, 1, 25, 48, 26]
[1, 54, 55, 41, 7, 55]
[12, 60, 35, 60, 51, 26]
[45, 41, 9, 26, 23, 12]
[37, 57, 30, 14, 56, 41]
[1, 13, 22, 37, 32, 27]
[47, 21, 53, 52, 8, 6]
[59, 32, 37, 59, 19, 40]
